2026-03-04 08:19:00 | INFO     | src.storage          | 保存 600219 数据成功，新增 0 条
2026-03-04 08:19:00 | INFO     | src.core.pipeline    | [600219] 数据保存成功（来源: EfinanceFetcher，新增 0 条）
2026-03-04 08:19:00 | INFO     | data_provider.akshare_fetcher | [API调用] 新浪财经接口获取 600219 实时行情...
2026-03-04 08:19:00 | INFO     | data_provider.efinance_fetcher | [API返回] ef.stock.get_quote_history 成功: 返回 36 行数据, 耗时 0.10s
2026-03-04 08:19:00 | INFO     | data_provider.efinance_fetcher | [API返回] 列名: ['股票名称', '股票代码', '日期', '开盘', '收盘', '最高', '最低', '成交量', '成交额', '振幅', '涨跌幅', '涨跌额', '换手率']
2026-03-04 08:19:00 | INFO     | data_provider.efinance_fetcher | [API返回] 日期范围: 2026-01-05 ~ 2026-03-03
2026-03-04 08:19:00 | INFO     | data_provider.base   | [EfinanceFetcher] 002078 获取成功，共 36 条数据
2026-03-04 08:19:00 | INFO     | data_provider.base   | [EfinanceFetcher] 成功获取 002078
2026-03-04 08:19:00 | INFO     | src.storage          | 保存 002078 数据成功，新增 2 条
2026-03-04 08:19:00 | INFO     | src.core.pipeline    | [002078] 数据保存成功（来源: EfinanceFetcher，新增 2 条）
2026-03-04 08:19:00 | INFO     | data_provider.akshare_fetcher | [API调用] 新浪财经接口获取 002078 实时行情...
2026-03-04 08:19:08 | WARNING  | data_provider.akshare_fetcher | [API错误] 新浪接口返回状态码 403
2026-03-04 08:19:08 | INFO     | data_provider.akshare_fetcher | [API调用] 腾讯财经接口获取 600219 实时行情...
2026-03-04 08:19:08 | WARNING  | data_provider.akshare_fetcher | [API错误] 新浪接口返回状态码 403
2026-03-04 08:19:08 | INFO     | data_provider.akshare_fetcher | [API调用] 腾讯财经接口获取 300004 实时行情...
2026-03-04 08:19:10 | WARNING  | data_provider.akshare_fetcher | [API错误] 新浪接口返回状态码 403
2026-03-04 08:19:10 | WARNING  | data_provider.realtime_types | [熔断器] akshare_sina 连续失败 3 次，进入熔断状态 (冷却 300.0s)
2026-03-04 08:19:10 | WARNING  | data_provider.realtime_types | [熔断器] 最后错误: HTTP 403
2026-03-04 08:19:10 | INFO     | data_provider.akshare_fetcher | [API调用] 腾讯财经接口获取 002078 实时行情...
2026-03-04 08:19:11 | INFO     | data_provider.akshare_fetcher | [实时行情-腾讯] 600219 南山铝业: 价格=7.2, 涨跌=-2.83%, 换手率=3.62%
2026-03-04 08:19:11 | INFO     | data_provider.base   | [实时行情] 600219 成功获取 (来源: tencent)
2026-03-04 08:19:11 | INFO     | src.core.pipeline    | [600219] 南山铝业 实时行情: 价格=7.2, 量比=None, 换手率=3.62% (来源: tencent)
2026-03-04 08:19:12 | INFO     | data_provider.akshare_fetcher | [实时行情-腾讯] 002078 太阳纸业: 价格=16.95, 涨跌=-1.68%, 换手率=1.27%
2026-03-04 08:19:12 | INFO     | data_provider.base   | [实时行情] 002078 成功获取 (来源: tencent)
2026-03-04 08:19:12 | INFO     | src.core.pipeline    | [002078] 太阳纸业 实时行情: 价格=16.95, 量比=None, 换手率=1.27% (来源: tencent)
2026-03-04 08:19:13 | INFO     | data_provider.akshare_fetcher | [实时行情-腾讯] 300004 南风股份: 价格=14.25, 涨跌=-8.24%, 换手率=5.57%
2026-03-04 08:19:13 | INFO     | data_provider.base   | [实时行情] 300004 成功获取 (来源: tencent)
2026-03-04 08:19:13 | INFO     | src.core.pipeline    | [300004] 南风股份 实时行情: 价格=14.25, 量比=None, 换手率=5.57% (来源: tencent)
2026-03-04 08:19:15 | INFO     | data_provider.akshare_fetcher | [API调用] ak.stock_cyq_em(symbol=600219) 获取筹码分布...
2026-03-04 08:19:16 | INFO     | data_provider.akshare_fetcher | [API返回] ak.stock_cyq_em 成功: 返回 90 天数据, 耗时 0.90s
2026-03-04 08:19:16 | INFO     | data_provider.akshare_fetcher | [筹码分布] 600219 日期=2026-03-03: 获利比例=83.1%, 平均成本=6.64, 90%集中度=30.11%, 70%集中度=18.68%
2026-03-04 08:19:16 | INFO     | src.core.pipeline    | [600219] 筹码分布: 获利比例=83.1%, 90%集中度=30.11%
2026-03-04 08:19:16 | INFO     | src.core.pipeline    | [600219] 开始多维度情报搜索...
2026-03-04 08:19:16 | INFO     | src.search_service   | 开始多维度情报搜索: 南山铝业(600219)
2026-03-04 08:19:16 | INFO     | src.search_service   | [情报搜索] 最新消息: 使用 Tavily
2026-03-04 08:19:18 | INFO     | src.search_service   | [Tavily] 搜索完成，query='南山铝业 600219 最新 新闻 2026年1月', 返回 3 条结果
2026-03-04 08:19:18 | INFO     | src.search_service   | [Tavily] 搜索 '南山铝业 600219 最新 新闻 2026年1月' 成功，返回 3 条结果，耗时 2.48s
2026-03-04 08:19:18 | INFO     | src.search_service   | [情报搜索] 最新消息: 获取 3 条结果
2026-03-04 08:19:19 | INFO     | data_provider.akshare_fetcher | [API调用] ak.stock_cyq_em(symbol=002078) 获取筹码分布...
2026-03-04 08:19:19 | ERROR    | data_provider.akshare_fetcher | [API错误] 获取 002078 筹码分布失败: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-03-04 08:19:19 | INFO     | src.core.pipeline    | [002078] 开始多维度情报搜索...
